Date,Open,High,Low,Close,Adj Close,Volume
2020-11-06,22155.0,22378.900390625,21960.0,22053.05078125,22053.05078125,58031
2020-11-09,22280.0,22737.44921875,22059.80078125,22604.69921875,22604.69921875,67025
2020-11-10,22630.0,23230.0,22630.0,22762.80078125,22762.80078125,112826
2020-11-11,22813.0,23130.0,22430.0,22867.55078125,22867.55078125,82845
2020-11-12,23120.0,23624.0,22880.0,23441.599609375,23441.599609375,178595
2020-11-13,23529.5,23645.19921875,23205.30078125,23435.5,23435.5,73676
2020-11-17,23525.80078125,24095.0,23400.0,23989.75,23989.75,87042
2020-11-18,23989.75,24134.69921875,23756.0,24069.25,24069.25,57487
2020-11-19,24000.0,24287.0,23503.599609375,23661.650390625,23661.650390625,67099
2020-11-20,23827.30078125,24010.94921875,23630.30078125,23948.69921875,23948.69921875,50600
2020-11-23,24000.0,24598.94921875,23987.0,24465.30078125,24465.30078125,65833
2020-11-24,24550.0,24688.900390625,24067.150390625,24243.55078125,24243.55078125,66479
2020-11-25,24580.0,24695.94921875,23547.05078125,23698.80078125,23698.80078125,83059
2020-11-26,23949.0,24600.0,23700.0,24381.150390625,24381.150390625,74560
2020-11-27,24473.69921875,24529.05078125,23351.0,24306.349609375,24306.349609375,190961
2020-12-01,25555.0,25655.5,24549.400390625,24908.400390625,24908.400390625,95268
2020-12-02,24800.0,25043.69921875,24200.0,24635.69921875,24635.69921875,77649
2020-12-03,24785.0,25040.599609375,24702.349609375,24905.150390625,24905.150390625,57012
2020-12-04,24951.0,25335.0,24820.30078125,24912.849609375,24912.849609375,63298
2020-12-07,25000.0,25089.0,24724.0,24954.150390625,24954.150390625,39743
2020-12-08,24950.0,25289.94921875,24735.5,24775.75,24775.75,59029
2020-12-09,24890.0,24949.19921875,24351.0,24420.69921875,24420.69921875,67836
2020-12-10,24420.69921875,24499.94921875,23687.400390625,23758.099609375,23758.099609375,83757
2020-12-11,23780.0,23958.0,23585.05078125,23805.0,23805.0,54705
2020-12-14,23810.0,23986.69921875,23652.0,23722.19921875,23722.19921875,35173
2020-12-15,23750.0,24325.0,23722.19921875,24259.650390625,24259.650390625,75628
2020-12-16,24389.0,24488.900390625,24145.69921875,24259.099609375,24259.099609375,53857
2020-12-17,24383.69921875,24899.0,24315.0,24510.400390625,24510.400390625,75262
2020-12-18,24500.0,24732.05078125,24301.80078125,24574.400390625,24574.400390625,106488
2020-12-21,24550.0,24550.0,23249.150390625,23717.5,23717.5,55774
2020-12-22,23717.5,24070.25,23389.05078125,23916.69921875,23916.69921875,47637
2020-12-23,23916.69921875,24240.0,23830.900390625,23894.400390625,23894.400390625,30687
2020-12-24,24190.0,24259.94921875,23554.099609375,23826.75,23826.75,47939
2020-12-28,24000.0,24109.94921875,23571.05078125,23715.55078125,23715.55078125,58822
2020-12-29,23875.0,23906.75,23680.0,23839.650390625,23839.650390625,30966
2020-12-30,23872.30078125,24701.599609375,23750.0,24599.94921875,24599.94921875,57743
2020-12-31,24361.0,24533.75,23866.0,24013.19921875,24013.19921875,85988
2021-01-01,24050.0,24276.5,23865.0,23950.30078125,23950.30078125,50972
2021-01-04,24140.0,24225.0,23862.0,24034.19921875,24034.19921875,39942
2021-01-05,24199.0,24199.0,23701.05078125,23895.5,23895.5,47363
2021-01-06,24084.0,24947.400390625,23850.0,24824.349609375,24824.349609375,73142
2021-01-07,24715.0,25200.0,24659.849609375,25002.150390625,25002.150390625,73979
2021-01-08,24960.0,25979.5,24960.0,25813.400390625,25813.400390625,76285
2021-01-11,25800.0,25950.0,25400.0,25569.30078125,25569.30078125,58276
2021-01-12,25549.0,25890.0,25221.0,25369.099609375,25369.099609375,47467
2021-01-13,25585.0,25600.0,24567.5,24726.400390625,24726.400390625,71497
2021-01-14,24802.0,24913.849609375,24475.0,24855.599609375,24855.599609375,34671
2021-01-15,24720.0,24844.69921875,24212.849609375,24413.80078125,24413.80078125,35232
2021-01-18,24400.0,24400.0,23610.0,23846.900390625,23846.900390625,41808
2021-01-19,23801.0,24474.849609375,23789.0,24374.5,24374.5,38386
2021-01-20,24470.0,24470.0,23835.650390625,23979.94921875,23979.94921875,48477
2021-01-21,24075.0,24299.80078125,23602.0,23719.0,23719.0,51819
2021-01-22,23799.0,24142.0,23612.44921875,23694.30078125,23694.30078125,52209
2021-01-25,24050.0,24050.0,23160.80078125,23255.650390625,23255.650390625,55464
2021-01-27,23270.0,23399.55078125,22745.19921875,22820.19921875,22820.19921875,62620
2021-01-28,22745.0,23189.849609375,22670.650390625,23106.30078125,23106.30078125,41756
2021-01-29,23250.0,23294.55078125,22531.0,22773.349609375,22773.349609375,58005
2021-02-01,23100.0,24690.44921875,22711.94921875,24543.599609375,24543.599609375,112280
2021-02-02,24543.599609375,26650.0,24200.55078125,26432.55078125,26432.55078125,188876
2021-02-03,26400.0,26579.0,25731.05078125,25994.400390625,25994.400390625,110699
2021-02-04,25990.0,27329.25,25607.599609375,27091.0,27091.0,135104
2021-02-05,27112.5,27286.94921875,26614.05078125,26722.849609375,26722.849609375,63260
2021-02-08,26907.150390625,28287.5,26750.05078125,28022.19921875,28022.19921875,183938
2021-02-09,27360.099609375,28599.099609375,27360.099609375,28165.80078125,28165.80078125,137375
2021-02-10,28245.0,28596.0,27853.05078125,28293.75,28293.75,86564
